"command","value","category","description","source_file"
"powsaINMBrangeExerciseCost","54,832","powsa","POWSA INMB range: exercise-programme annual cost (NOK)","owpsa_v7_results.csv"
"powsaINMBrangeDFSutil","27,360","powsa","POWSA INMB range: DFS utility (NOK)","owpsa_v7_results.csv"
"powsaMinProbCE","97.0","powsa","POWSA minimum P(CE) across all parameter bounds (%)","owpsa_v7_results.csv"
"powsaMinimumExpectedINMB","93,646","powsa","POWSA minimum expected INMB across bounds (NOK)","owpsa_v7_results.csv"
"powsaMaximumExpectedINMB","489,680","powsa","POWSA maximum expected INMB across bounds (NOK)","owpsa_v7_results.csv"
"psaConvergenceIter","100","psa","PA convergence: first INMB CI excludes zero (iterations)","inmb_convergence.rds"
"psaConvergencePct","4.1","psa","PA ICER stability: 1K vs 10K difference (%)","convergence_check.rds"
"valDFSctrlFiveYr","73.1","val","Model 5-year DFS control arm (%)","validation_checks.rds"
"valDFSexFiveYr","79.8","val","Model 5-year DFS exercise arm (%)","validation_checks.rds"
"valDFSpubCtrl","73.9","val","Published 5-year DFS control arm (%)","validation_checks.rds"
"valDFSpubEx","80.3","val","Published 5-year DFS exercise arm (%)","validation_checks.rds"
"valDFSctrlGap","0.8","val","Validation gap: 5-year DFS control (percentage points)","validation_checks.rds"
"valDFSexGap","0.5","val","Validation gap: 5-year DFS exercise (percentage points)","validation_checks.rds"
"valEVTidenticalQALY","10.2497","val","Extreme value, no treatment effect: QALYs per arm (arms identical)","output/validation/extreme-value-results.csv"
"valEVTnoEffectIncrCost","53,538","val","Extreme value, no treatment effect: incremental cost (NOK)","output/validation/extreme-value-results.csv"
"valEVTzeroCostSaving","22,651","val","Extreme value, zero intervention cost: magnitude of the saving (NOK)","output/validation/extreme-value-results.csv"
"valEVTzeroCostQALY","0.9102","val","Extreme value, zero intervention cost: incremental QALYs","output/validation/extreme-value-results.csv"
"valEVTzeroUtilQALY","0","val","Extreme value, zero utilities: QALYs per arm","output/validation/extreme-value-results.csv"
"valEVTzeroUtilCostPerLY","28,576","val","Extreme value, zero utilities: incremental cost per life-year (NOK)","output/validation/extreme-value-results.csv"
"valStateOccupancy","1.0000","val","Validation: state-occupancy sum, every cycle and both arms","validation_checks.rds"
"valBICdfsLognormal","994.8","val","BIC: DFS log-normal (control arm)","aic_bic_comparison.csv"
"valBICdfsGenGamma","992.7","val","BIC: DFS generalised gamma (control arm)","aic_bic_comparison.csv"
"valBICdfsDiff","2.2","val","BIC difference: DFS log-normal minus gen. gamma","aic_bic_comparison.csv"
"valBICosLognormal","612.0","val","BIC: OS log-normal (control arm)","aic_bic_comparison.csv"
"valAICdfsExponential","1,022.7","val","AIC: DFS Exponential (control arm)","aic_bic_comparison.csv"
"valBICdfsExponential","1,026.8","val","BIC: DFS Exponential (control arm)","aic_bic_comparison.csv"
"valAICosExponential","620.2","val","AIC: OS Exponential (control arm)","aic_bic_comparison.csv"
"valBICosExponential","624.3","val","BIC: OS Exponential (control arm)","aic_bic_comparison.csv"
"valAICdfsWeibull","1,000.0","val","AIC: DFS Weibull (control arm)","aic_bic_comparison.csv"
"valBICdfsWeibull","1,008.2","val","BIC: DFS Weibull (control arm)","aic_bic_comparison.csv"
"valAICosWeibull","608.4","val","AIC: OS Weibull (control arm)","aic_bic_comparison.csv"
"valBICosWeibull","616.6","val","BIC: OS Weibull (control arm)","aic_bic_comparison.csv"
"valAICdfsLognormal","986.6","val","AIC: DFS Lognormal (control arm)","aic_bic_comparison.csv"
"valAICosLognormal","603.8","val","AIC: OS Lognormal (control arm)","aic_bic_comparison.csv"
"valAICdfsLoglogistic","996.0","val","AIC: DFS Loglogistic (control arm)","aic_bic_comparison.csv"
"valBICdfsLoglogistic","1,004.2","val","BIC: DFS Loglogistic (control arm)","aic_bic_comparison.csv"
"valAICosLoglogistic","607.5","val","AIC: OS Loglogistic (control arm)","aic_bic_comparison.csv"
"valBICosLoglogistic","615.7","val","BIC: OS Loglogistic (control arm)","aic_bic_comparison.csv"
"valAICdfsGompertz","993.5","val","AIC: DFS Gompertz (control arm)","aic_bic_comparison.csv"
"valBICdfsGompertz","1,001.7","val","BIC: DFS Gompertz (control arm)","aic_bic_comparison.csv"
"valAICosGompertz","614.8","val","AIC: OS Gompertz (control arm)","aic_bic_comparison.csv"
"valBICosGompertz","623.0","val","BIC: OS Gompertz (control arm)","aic_bic_comparison.csv"
"valAICdfsGenGamma","980.4","val","AIC: DFS GenGamma (control arm)","aic_bic_comparison.csv"
"valAICosGenGamma","603.6","val","AIC: OS GenGamma (control arm)","aic_bic_comparison.csv"
"valBICosGenGamma","615.9","val","BIC: OS GenGamma (control arm)","aic_bic_comparison.csv"
"valLnormDfsMeanlog","3.0441","val","Selected log-normal meanlog, natural scale (DFS control arm)","survival_fits_dfs_ctrl.rds"
"valLnormDfsSdlog","2.3307","val","Selected log-normal sdlog, natural scale (DFS control arm)","survival_fits_dfs_ctrl.rds"
"valLnormOsMeanlog","3.1719","val","Selected log-normal meanlog, natural scale (OS control arm)","survival_fits_os_ctrl.rds"
"valLnormOsSdlog","1.1981","val","Selected log-normal sdlog, natural scale (OS control arm)","survival_fits_os_ctrl.rds"
"valCrossingCyclesControl","153","val","Raw-fit crossing: control-arm monthly cycles with S_DFS > S_OS (pre-cap)","survival_fits_dfs_ctrl.rds; survival_fits_os_ctrl.rds"
"valCrossingStartYrControl","27.33","val","Raw-fit crossing: control-arm first crossing time (years)","survival_fits_dfs_ctrl.rds; survival_fits_os_ctrl.rds"
"valCrossingCyclesExercise","30","val","Raw-fit crossing: exercise-arm monthly cycles with S_DFS > S_OS (pre-cap)","survival_fits_dfs_ctrl.rds; survival_fits_os_ctrl.rds"
"valCrossingStartYrExercise","37.58","val","Raw-fit crossing: exercise-arm first crossing time (years)","survival_fits_dfs_ctrl.rds; survival_fits_os_ctrl.rds"
"valCrossingQALYshareControlPct","3.35","val","Crossing-window share of control-arm total discounted QALYs (%)","costs_qalys.rds"
"valCrossingIncrQALYsharePct","6.77","val","Crossing-window share of discounted incremental QALYs (%)","costs_qalys.rds"
"sevCohortAge","61","sev","Cohort age used for severity norm lookup (years)","00-parameters.R"
"sevGenPopQALY","20.8","sev","General population remaining QALYs at cohort age (DMP New norm)","dmp-eq5d5l-norms-current.csv"
"sevComparatorQALY","15.89","sev","Comparator (Standard Care) undiscounted QALYs (PA)","costs_qalys.rds"
"sevAbsoluteShortfall","4.91","sev","Absolute shortfall AS = QALYsA - PA (rounded 2 dp)","derive_severity (00-parameters.R)"
"sevMagnussenGroup","2","sev","Magnussen severity group for the absolute shortfall","magnussen_bands (00-parameters.R)"
"sevMagnussenWeight","1.4","sev","Magnussen severity weight for the group","magnussen_bands (00-parameters.R)"
"wtpOpportunityCost","275,000","sev","DMP opportunity-cost benchmark (NOK/QALY)","00-parameters.R"
"wtpSeverityReference","385,000","sev","Severity-weighted cost-effectiveness threshold (NOK/QALY)","derive_severity (00-parameters.R)"
"wtpThreshold","385,000","sev","Applicable cost-effectiveness threshold = severity-informed reference (NOK/QALY)","04-costs-qalys.R"
"sevAbsoluteShortfallNorSeventyThree","1.02","sev","Absolute shortfall AS at scenario norwegian_registry_age (rounded 2 dp)","structural_sa_results.csv"
"sevMagnussenGroupNorSeventyThree","1","sev","Magnussen severity group at scenario norwegian_registry_age","structural_sa_results.csv"
"wtpSeverityReferenceNorSeventyThree","275,000","sev","Severity-informed reference threshold at scenario norwegian_registry_age (NOK/QALY)","structural_sa_results.csv"
"ssaICERNorSeventyThree","−738,637","ssa","SSA ICER at Norwegian registry-age scenario norwegian_registry_age (NOK/QALY)","structural_sa_results.csv"
"sevAbsoluteShortfallNorSeventySix","0.70","sev","Absolute shortfall AS at scenario norwegian_registry_age_women_76 (rounded 2 dp)","structural_sa_results.csv"
"sevMagnussenGroupNorSeventySix","1","sev","Magnussen severity group at scenario norwegian_registry_age_women_76","structural_sa_results.csv"
"wtpSeverityReferenceNorSeventySix","275,000","sev","Severity-informed reference threshold at scenario norwegian_registry_age_women_76 (NOK/QALY)","structural_sa_results.csv"
"ssaICERNorSeventySix","−1,153,335","ssa","SSA ICER at Norwegian registry-age scenario norwegian_registry_age_women_76 (NOK/QALY)","structural_sa_results.csv"
"psaProbCEopportunityCost","97.6","sev","P(CE) at opportunity-cost benchmark (275K) (%)","psa_results.rds"
"psaProbCEseverityReference","99.3","sev","P(CE) at severity-informed reference (385K) (%)","psa_results.rds"
